AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
KATL,Hartsfield-Jackson Atlanta International Airport,ATL,US,"N333812,W0842541",Atlanta,L,1026,3776,107394029,https://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,http://atlanta-airport.com/
ZBAA,Beijing Capital International Airport,PEK,CN,"N400448,E1163502",Beijing,L,116,3810,100983290,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,http://en.bcia.com.cn/
OMDB,Dubai International Airport,DXB,AE,"N251510,E0552152",Dubai,L,62,4000,89149387,https://en.wikipedia.org/wiki/Dubai_International_Airport,http://www.dubaiairport.com/
KLAX,Los Angeles International Airport,LAX,US,"N335633,W1182429",Los Angeles,L,128,3939,87534384,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,http://www.lawa.org/welcomeLAX.aspx
RJTT,Haneda Airport,HND,JP,"N353312,E1394652",Tokyo,L,21,3360,87131973,https://en.wikipedia.org/wiki/Haneda_Airport,http://www.tokyo-airport-bldg.co.jp/en/
KORD,O'Hare International Airport,ORD,US,"N415843,W0875417",Chicago,L,668,3962,83339186,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,http://www.flychicago.com/ohare/en/home/Pages/default.aspx
EGLL,Heathrow Airport,LHR,GB,"N512839,W0002741",London,L,83,3902,80126320,https://en.wikipedia.org/wiki/Heathrow_Airport,http://www.heathrowairport.com
VHHH,Hong Kong International Airport,HKG,HK,"N221832,E1135450",Hong Kong,L,28,3800,74517402,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,http://www.hongkongairport.com
ZSPD,Shanghai Pudong International Airport,PVG,CN,"N310836,E1214818",Shanghai,L,13,4000,74006331,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,NULL
LFPG,Charles de Gaulle Airport,CDG,FR,"N490035,E0023252",Paris,L,392,4215,72229723,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,http://www.aeroportsdeparis.fr/en/homepage
EHAM,Amsterdam Airport Schiphol,AMS,NL,"N521843,E0044800",Amsterdam,L,-11,3800,71053157,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol,https://www.airport-ams.com/
VIDP,Indira Gandhi International Airport,DEL,IN,"N283407,E0770644",New Delhi,L,777,3810,69900938,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,http://www.newdelhiairport.in/traveller.aspx
ZGGG,Guangzhou Baiyun International Airport,CAN,CN,"N232333,E1131756",Guangzhou,L,49,3600,69769497,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,http://www.gbiac.net/en/byhome
EDDF,Frankfurt Airport,FRA,DE,"N500200,E0083414",Frankfurt-am-Main,L,364,4000,69510269,https://en.wikipedia.org/wiki/Frankfurt_Airport,http://www.frankfurt-airport.com
KDFW,Dallas/Fort Worth International Airport,DFW,US,"N325349,W0970332",Dallas-Fort Worth,L,607,4085,69112607,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,http://www.dfwairport.com/
RKSI,Incheon International Airport,ICN,KR,"N372748,E1262624",Seoul,L,23,3750,68350784,https://en.wikipedia.org/wiki/Incheon_International_Airport,https://www.airport.kr/pa/en/a/index.jsp
LTBA,Istanbul AtatÃ¼rk Airport,IST,TR,"N405834,E0284851",Istanbul,L,163,3000,68192683,https://en.wikipedia.org/wiki/Istanbul_AtatÃ¼rk_Airport,http://www.ataturkairport.com/en-EN/Pages/Main.aspx
WIII,Soekarno-Hatta International Airport,CGK,ID,"S060732,E1063922",Jakarta,L,32,3660,66908159,https://en.wikipedia.org/wiki/Soekarno-Hatta_International_Airport,http://www.soekarnohatta-airport.co.id/
WSSS,Singapore Changi Airport,SIN,SG,"N012133,E1035920",Singapore,L,22,4000,65628000,https://en.wikipedia.org/wiki/Singapore_Changi_Airport,http://www.changiairport.com/
KDEN,Denver International Airport,DEN,US,"N395142,W1044023",Denver,L,5431,3658,64494613,https://en.wikipedia.org/wiki/Denver_International_Airport,http://www.flydenver.com
VTBS,Suvarnabhumi Airport,BKK,TH,"N134133,E1004500",Bangkok,L,5,4000,63378923,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,http://www.suvarnabhumiairport.com/
KJFK,John F. Kennedy International Airport,JFK,US,"N403823,W0734644",New York,L,13,4423,61909148,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,http://www.kennedyairport.com
WMKK,Kuala Lumpur International Airport,KUL,MY,"N024436,E1014153",Kuala Lumpur,L,70,4124,59959000,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,http://www.klia.com.my
LEMD,Adolfo SuÃ¡rez Madrid-Barajas Airport,MAD,ES,"N402820,W0033339",Madrid,L,2000,4100,57891340,https://en.wikipedia.org/wiki/Adolfo_SuÃ¡rez_Madrid-Barajas_Airport,http://www.aena-aeropuertos.es/madrid-barajas/en
KSFO,San Francisco International Airport,SFO,US,"N373708,W1222230",San Francisco,L,13,3618,57793313,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,http://flysfo.com/
ZUUU,Chengdu Shuangliu International Airport,CTU,CN,"N303442,E1035649",Chengdu,L,1624,3600,52950000,https://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,http://www.cdairport.com
LEBL,Barcelona-El Prat Airport,BCN,ES,"N411749,E0020442",Barcelona,L,14,3552,50172457,https://en.wikipedia.org/wiki/Barcelona-El_Prat_Airport,http://www.aena-aeropuertos.es/barcelona/en
VABB,Chhatrapati Shivaji International Airport,BOM,IN,"N190519,E0725205",Mumbai,L,37,3660,49877918,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,http://www.csia.in/
KSEA,Seattle-Tacoma International Airport,SEA,US,"N472656,W1221832",Seattle,L,433,3627,49849520,https://en.wikipedia.org/wiki/Seattle-Tacoma_International_Airport,https://www.portseattle.org/seatac/
KLAS,McCarran International Airport,LAS,US,"N360448,W1150907",Las Vegas,L,2181,4423,49716584,https://en.wikipedia.org/wiki/McCarran_International_Airport,http://www.mccarran.com
CYYZ,Toronto Pearson International Airport,YYZ,CA,"N434036,W0793750",Toronto,L,569,3368,49507418,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,http://www.torontopearson.com/
ZGSZ,Shenzhen Bao'an International Airport,SZX,CN,"N223822,E1134840",Shenzhen,L,13,3400,49350000,https://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,http://www.szairport.com
MMMX,Mexico City International Airport,MEX,MX,"N192610,W0990419",Mexico City,L,7316,3900,47700547,https://en.wikipedia.org/wiki/Mexico_City_International_Airport,http://www.aicm.com.mx
KMCO,Orlando International Airport,MCO,US,"N282546,W0811832",Orlando,L,96,3659,47696627,https://en.wikipedia.org/wiki/Orlando_International_Airport,http://www.orlandoairports.net/
ZPPP,Kunming Changshui International Airport,KMG,CN,"N250607,E1025544",Kunming,L,6900,4000,47090000,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,http://www.kmgairport.com/
RCTP,Taoyuan International Airport,TPE,TW,"N250435,E1211326",Taipei,L,108,3660,46535180,https://en.wikipedia.org/wiki/Taoyuan_International_Airport,http://www.taoyuan-airport.com/english/Index/
KCLT,Charlotte Douglas International Airport,CLT,US,"N351250,W0805635",Charlotte,L,748,3048,46444380,https://en.wikipedia.org/wiki/Charlotte_Douglas_International_Airport,http://www.charlotteairport.com/
EDDM,Munich Airport,MUC,DE,"N482114,E0114710",Munich,L,1487,4000,46253623,https://en.wikipedia.org/wiki/Munich_Airport,http://www.munich-airport.de/en/consumer/index.jsp
EGKK,Gatwick Airport,LGW,GB,"N510853,W0001125",London,L,203,3316,46075400,https://en.wikipedia.org/wiki/Gatwick_Airport,http://www.gatwickairport.com/
KEWR,Newark Liberty International Airport,EWR,US,"N404133,W0741007",Newark,L,18,3353,46065175,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,http://www.newarkairport.com
UUEE,Sheremetyevo International Airport,SVO,RU,"N555822,E0372453",Moscow,L,622,3700,45836000,https://en.wikipedia.org/wiki/Sheremetyevo_International_Airport,http://www.svo.aero/en/
RPLL,Ninoy Aquino International Airport,MNL,PH,"N143031,E1210108",Manila,L,75,3737,45082544,https://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport,http://www.miaa.gov.ph/
KMIA,Miami International Airport,MIA,US,"N254736,W0801726",Miami,L,9,3967,45044312,https://en.wikipedia.org/wiki/Miami_International_Airport,http://www.iflymia.com/
KPHX,Phoenix Sky Harbor International Airport,PHX,US,"N332603,W1120043",Phoenix,L,1135,3502,44943686,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,http://www.skyharbor.com/
ZLXY,Xi'an Xianyang International Airport,XIY,CN,"N342649,E1084504",Xianyang,L,1572,3000,44650000,https://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,http://www.xxia.com.cn/
YSSY,Sydney Airport,SYD,AU,"S335646,E1511037",Sydney,L,21,3962,44389000,https://en.wikipedia.org/wiki/Sydney_Airport,http://www.sydneyairport.com.au/
KIAH,George Bush Intercontinental Airport,IAH,US,"N295904,W0952029",Houston,L,97,3658,43807539,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,http://www.fly2houston.com/
ZSSS,Shanghai Hongqiao International Airport,SHA,CN,"N311153,E1211919",Shanghai,L,10,3400,43630000,https://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport,NULL
LIRF,Leonardo da Vinci-Fiumicino Airport,FCO,IT,"N414801,E0121420",Rome,L,13,3800,42995119,https://en.wikipedia.org/wiki/Leonardo_da_Vinci-Fiumicino_Airport,http://www.adr.it/
SBGR,SÃ£o Paulo-Guarulhos International Airport,GRU,BR,"S232608,W0462823",SÃ£o Paulo,L,2459,3000,42831981,https://en.wikipedia.org/wiki/SÃ£o_Paulo-Guarulhos_International_Airport,http://www.gru.com.br/en
RJAA,Narita International Airport,NRT,JP,"N354555,E1402310",Tokyo,L,135,4000,42601130,https://en.wikipedia.org/wiki/Narita_International_Airport,http://www.narita-airport.jp/en
ZUCK,Chongqing Jiangbei International Airport,CKG,CN,"N294309,E1063831",Chongqing,L,1365,3200,41600000,https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,http://www.cqa.cn/
OEJN,King Abdulaziz International Airport,JED,SA,"N214046,E0390924",Jeddah,L,48,4000,41200000,https://en.wikipedia.org/wiki/King_Abdulaziz_International_Airport,http://www.jed-airport.com/
VTBD,Don Mueang International Airport,DMK,TH,"N135445,E1003625",Bangkok,L,9,3700,40758148,https://en.wikipedia.org/wiki/Don_Mueang_International_Airport,http://www.donmueangairportthai.com/en
VVTS,Tan Son Nhat International Airport,SGN,VN,"N104908,E1063907",Ho Chi Minh City,L,33,3050,38500000,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,http://tansonnhatairport.vn/
KBOS,Logan International Airport,BOS,US,"N422147,W0710023",Boston,L,20,3073,38412419,https://en.wikipedia.org/wiki/Logan_International_Airport,https://www.boston-logan-airport.com/
ZSHC,Hangzhou Xiaoshan International Airport,HGH,CN,"N301346,E1202602",Hangzhou,L,23,3600,38240000,https://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,http://www.hzairport.com
KMSP,Minneapolis-Saint Paul International Airport,MSP,US,"N445255,W0931318",Minneapolis,L,841,3355,38034341,https://en.wikipedia.org/wiki/Minneapolis-Saint_Paul_International_Airport,http://www.mspairport.com/
YMML,Melbourne Airport,MEL,AU,"S374024,E1445035",Melbourne,L,434,3657,35559378,https://en.wikipedia.org/wiki/Melbourne_Airport,http://www.melbourneairport.com.au/
OTHH,Hamad International Airport,DOH,QA,"N251623,E0513629",Doha,A,13,4250,35400000,https://en.wikipedia.org/wiki/Hamad_International_Airport,http://dohahamadairport.com/
KDTW,Detroit Metropolitan Airport,DTW,US,"N421245,W0832112",Detroit,L,645,3659,34701094,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Airport,http://www.metroairport.com
LFPO,Orly Airport,ORY,FR,"N484324,E0022246",Paris,L,291,3650,33120685,https://en.wikipedia.org/wiki/Orly_Airport,http://www.aeroportsdeparis.fr/en/homepage
KFLL,Fort Lauderdale-Hollywood International Airport,FLL,US,"N260421,W0800910",Fort Lauderdale,L,9,2743,32511053,https://en.wikipedia.org/wiki/Fort_Lauderdale-Hollywood_International_Airport,http://www.broward.org/airport
VOBL,Kempegowda International Airport,BLR,IN,"N131225,E0774215",Bangalore,L,3002,4000,32300000,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,http://www.bengaluruairport.com/
EIDW,Dublin Airport,DUB,IE,"N532517,W0061612",Dublin,L,242,2637,31500000,https://en.wikipedia.org/wiki/Dublin_Airport,http://www.dublinairport.com/
LTFJ,Sabiha GÃ¶kÃ§en International Airport,SAW,TR,"N405354,E0291833",Istanbul,L,312,3000,31385841,https://en.wikipedia.org/wiki/Sabiha_GÃ¶kÃ§en_International_Airport,http://www.sabihagokcen.aero/
LSZH,ZÃ¼rich Airport,ZRH,CH,"N472753,E0083257",Zurich,L,1416,3700,31113488,https://en.wikipedia.org/wiki/ZÃ¼rich_Airport,http://www.zurich-airport.com
EKCH,Copenhagen Airport,CPH,DK,"N553705,E0123922",Copenhagen,L,17,3600,30298531,https://en.wikipedia.org/wiki/Copenhagen_Airport,http://www.cph.dk/
KPHL,Philadelphia International Airport,PHL,US,"N395548,W0750441",Philadelphia,L,36,3202,29585754,https://en.wikipedia.org/wiki/Philadelphia_International_Airport,http://www.phl.org/
UUDD,Domodedovo International Airport,DME,RU,"N552431,E0375422",Moscow,L,588,3800,29400000,https://en.wikipedia.org/wiki/Domodedovo_International_Airport,http://www.domodedovo.ru/en/
KLGA,LaGuardia Airport,LGA,US,"N404638,W0735221",New York,L,21,2134,29348423,https://en.wikipedia.org/wiki/LaGuardia_Airport,http://www.laguardiaairport.com
LEPA,Palma de Mallorca Airport,PMI,ES,"N393306,E0024420",Palma De Mallorca,L,24,3270,29081787,https://en.wikipedia.org/wiki/Palma_de_Mallorca_Airport,http://www.aena-aeropuertos.es/mallorca/en
LPPT,Lisbon Portela Airport,LIS,PT,"N384627,W0090803",Lisbon,L,374,3805,29031000,https://en.wikipedia.org/wiki/Lisbon_Portela_Airport,https://www.airport-lis.com/
RJBB,Kansai International Airport,KIX,JP,"N342603,E1351359",Osaka,L,17,3500,28660428,https://en.wikipedia.org/wiki/Kansai_International_Airport,http://www.kansai-airport.or.jp/en/index.asp
ZSNJ,Nanjing Lukou International Airport,NKG,CN,"N314432,E1185143",Nanjing,L,NULL,3600,28580000,https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,http://www.njiairport.com/
ENGM,Oslo Airport Gardermoen,OSL,NO,"N601210,E0110502",Oslo,L,681,3600,28516220,https://en.wikipedia.org/wiki/Oslo_Airport_Gardermoen,http://www.osl.no/en/osl
EGCC,Manchester Airport,MAN,GB,"N532114,W0021630",Manchester,L,257,3048,28292797,https://en.wikipedia.org/wiki/Manchester_Airport,http://www.manchesterairport.co.uk
SKBO,El Dorado International Airport,BOG,CO,"N044205,W0740849",Bogota,L,8361,3800,28167389,https://en.wikipedia.org/wiki/El_Dorado_International_Airport,http://eldorado.aero/
EGSS,London Stansted Airport,STN,GB,"N515306,E0001406",London,L,348,3049,27996116,https://en.wikipedia.org/wiki/London_Stansted_Airport,http://www.stanstedairport.com
ZHCC,Zhengzhou Xinzheng International Airport,CGO,CN,"N343111,E1135028",Zhengzhou,L,495,3400,27330000,https://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,http://www.zzairport.com/
LOWW,Vienna International Airport,VIE,AT,"N480637,E0163411",Vienna,L,600,3500,27037292,https://en.wikipedia.org/wiki/Vienna_International_Airport,http://www.viennaairport.com/
VVNB,Noi Bai International Airport,HAN,VN,"N211250,E1054811",Hanoi,L,39,3200,27000000,https://en.wikipedia.org/wiki/Noi_Bai_International_Airport,http://noibaiairport.vn/HOME/Default.aspx
ESSA,Stockholm Arlanda Airport,ARN,SE,"N593907,E0175507",Stockholm,L,137,3301,26845419,https://en.wikipedia.org/wiki/Stockholm_Arlanda_Airport,http://www.swedavia.com/arlanda/
OERK,King Khalid International Airport,RUH,SA,"N245728,E0464156",Riyadh,L,2049,4205,26772525,https://en.wikipedia.org/wiki/King_Khalid_International_Airport,NULL
ZSAM,Xiamen Gaoqi International Airport,XMN,CN,"N243239,E1180741",Xiamen,L,59,3400,26500000,https://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport,http://www.xiac.com.cn/en/index.asp
KBWI,Baltimore-Washington International Airport,BWI,US,"N391500,W0764006",Baltimore,L,146,3201,26370344,https://en.wikipedia.org/wiki/Baltimore-Washington_International_Airport,http://www.bwiairport.com/
RKPC,Jeju International Airport,CJU,KR,"N333041,E1262935",Jeju City,L,118,3000,26290832,https://en.wikipedia.org/wiki/Jeju_International_Airport,http://www.airport.co.kr/mbs/jejueng/
CYVR,Vancouver International Airport,YVR,CA,"N491141,W1231102",Vancouver,L,14,3505,25936907,https://en.wikipedia.org/wiki/Vancouver_International_Airport,http://www.yvr.ca/
LTAI,Antalya Airport,AYT,TR,"N365401,E0304734",Antalya,L,177,3400,25931659,https://en.wikipedia.org/wiki/Antalya_Airport,http://www.aytport.com/
EBBR,Brussels Airport,BRU,BE,"N505405,E0042904",Brussels,L,184,3638,25675939,https://en.wikipedia.org/wiki/Brussels_Airport,http://www.brusselsairport.be/en/
ZGHA,Changsha Huanghua International Airport,CSX,CN,"N281148,E1131316",Changsha,L,217,3200,25270000,https://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport,http://csa.hnjcjt.com/en/
MMUN,CancÃºn International Airport,CUN,MX,"N210212,W0865237",CancÃºn,L,20,3500,25202016,https://en.wikipedia.org/wiki/CancÃºn_International_Airport,NULL
LIMC,Milan-Malpensa Airport,MXP,IT,"N453748,E0084323",Milan,L,1000,3920,24725490,https://en.wikipedia.org/wiki/Milan-Malpensa_Airport,http://www.milanomalpensa1.eu/en
RKSS,Gimpo International Airport,GMP,KR,"N373329,E1264728",Seoul,L,58,3200,24602588,https://en.wikipedia.org/wiki/Gimpo_International_Airport,NULL
ZSQD,Qingdao Liuting International Airport,TAO,CN,"N361558,E1202226",Qingdao,L,33,3400,24540000,https://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,http://www.qdairport.com
ZHHH,Wuhan Tianhe International Airport,WUH,CN,"N304701,E1141850",Wuhan,L,112,3400,24500000,https://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport,http://www.whairport.com/
EDDL,DÃ¼sseldorf Airport,DUS,DE,"N511722,E0064600",DÃ¼sseldorf,L,147,3000,24284745,https://en.wikipedia.org/wiki/DÃ¼sseldorf_Airport,http://www.dus.com/dus_en/
KSLC,Salt Lake City International Airport,SLC,US,"N404718,W1115841",Salt Lake City,L,4227,3658,24199351,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport,http://www.slcairport.com/
LGAV,Athens International Airport,ATH,GR,"N375611,E0235650",Athens,L,308,4000,24135736,https://en.wikipedia.org/wiki/Athens_International_Airport,http://www.aia.gr/
ZJHK,Haikou Meilan International Airport,HAK,CN,"N195605,E1102732",Haikou,L,75,3600,24120000,https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport,http://www.mlairport.com/
RJCC,New Chitose Airport,CTS,JP,"N424631,E1414135",Chitose / Tomakomai,L,70,3000,24081728,https://en.wikipedia.org/wiki/New_Chitose_Airport,http://www.new-chitose-airport.jp/en/
KDCA,Ronald Reagan Washington National Airport,DCA,US,"N385108,W0770216",Washington,L,15,2185,23998672,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,http://mwaa.com/reagan/reagan.htm
WADD,Ngurah Rai International Airport,DPS,ID,"S084453,E1151005",Denpasar-Bali Island,L,14,3000,23779178,https://en.wikipedia.org/wiki/Ngurah_Rai_International_Airport,http://www.bali-airport.com/
OMAA,Abu Dhabi International Airport,AUH,AE,"N242559,E0543904",Abu Dhabi,L,88,4100,23760561,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,http://www.abudhabiairport.ae/
ZBTJ,Tianjin Binhai International Airport,TSN,CN,"N390728,E1172046",Tianjin,L,10,3600,23591412,https://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,NULL
ZJSY,Sanya Phoenix International Airport,SYX,CN,"N181810,E1092443",Sanya,L,89,3400,23590000,https://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,http://www.sanyaairport.com/
RJFF,Fukuoka Airport,FUK,JP,"N333504,E1302707",Fukuoka,L,30,2800,23271641,https://en.wikipedia.org/wiki/Fukuoka_Airport,NULL
ZWWW,ÃœrÃ¼mqi Diwopu International Airport,URC,CN,"N435426,E0872827",ÃœrÃ¼mqi,L,2126,3600,23030000,https://en.wikipedia.org/wiki/ÃœrÃ¼mqi_Diwopu_International_Airport,http://www.xjairport.com
LLBG,Ben Gurion Airport,TLV,IL,"N320034,E0345258",Tel Aviv,L,134,4062,22949676,https://en.wikipedia.org/wiki/Ben_Gurion_Airport,http://www.iaa.gov.il/en-US/airports/bengurion/Pages/default.aspx
YBBN,Brisbane Airport,BNE,AU,"S272300,E1530705",Brisbane,L,13,3300,22949267,https://en.wikipedia.org/wiki/Brisbane_Airport,http://www.bne.com.au/
KIAD,Washington Dulles International Airport,IAD,US,"N385640,W0772721",Washington,L,313,3505,22790592,https://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,http://www.flyDulles.com
KMDW,Midway International Airport,MDW,US,"N414710,W0874509",Chicago,L,620,1988,22460236,https://en.wikipedia.org/wiki/Midway_International_Airport,http://www.flychicago.com/midway/en/home/Pages/default.aspx
KSAN,San Diego International Airport,SAN,US,"N324401,W1171124",San Diego,L,17,2865,22174767,https://en.wikipedia.org/wiki/San_Diego_International_Airport,http://www.san.org
EDDT,Berlin Tegel Airport,TXL,DE,"N523335,E0131716",Berlin,L,122,3023,22000430,https://en.wikipedia.org/wiki/Berlin_Tegel_Airport,http://www.berlin-airport.de/en/travellers-txl/index.php
WARR,Juanda International Airport,SUB,ID,"S072247,E1124713",Surabaya,L,9,3000,21882335,https://en.wikipedia.org/wiki/Juanda_International_Airport,http://www.juanda-airport.com/
UUWW,Vnukovo International Airport,VKO,RU,"N553546,E0371603",Moscow,L,686,3500,21478622,https://en.wikipedia.org/wiki/Vnukovo_International_Airport,http://www.vnukovo.ru/en/
SPJC,Jorge ChÃ¡vez International Airport,LIM,PE,"S120119,W0770652",Lima,A,113,3507,21276090,https://en.wikipedia.org/wiki/Jorge_ChÃ¡vez_International_Airport,https://www.lima-airport.com/
FAOR,O. R. Tambo International Airport,JNB,ZA,"S260821,E0281446",Olifants River Bridge,L,5558,4418,21180060,https://en.wikipedia.org/wiki/O._R._Tambo_International_Airport,NULL
EFHK,Helsinki Airport,HEL,FI,"N601902,E0245748",Helsinki,L,179,3500,20848838,https://en.wikipedia.org/wiki/Helsinki_Airport,http://www.helsinkiairport.fi/
SBSP,SÃ£o Paulo-Congonhas Airport,CGH,BR,"S233734,W0463923",SÃ£o Paulo,L,2631,1940,20773209,https://en.wikipedia.org/wiki/SÃ£o_Paulo-Congonhas_Airport,http://www.infraero.com.br/index.php/br/aeroportos/sao-paulo/aeroporto-de-sao-paulo--congonhas.html
ROAH,Naha Airport,OKA,JP,"N261145,E1273846",Naha,L,11,3000,20569935,https://en.wikipedia.org/wiki/Naha_Airport,NULL
NZAA,Auckland Airport,AKL,NZ,"S370029,E1744731",Auckland,L,23,3635,20530048,https://en.wikipedia.org/wiki/Auckland_Airport,http://www.aucklandairport.co.nz
ZYHB,Harbin Taiping International Airport,HRB,CN,"N453724,E1261500",Harbin,L,456,3200,20431432,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,NULL
ZUGY,Guiyang Longdongbao International Airport,KWE,CN,"N263219,E1064804",Guiyang,L,3737,3200,20094681,https://en.wikipedia.org/wiki/Guiyang_Longdongbao_International_Airport,http://www.gyairport.com
KTPA,Tampa International Airport,TPA,US,"N275832,W0823200",Tampa,L,26,3353,19624284,https://en.wikipedia.org/wiki/Tampa_International_Airport,http://www.tampaairport.com/
VOMM,Chennai International Airport,MAA,IN,"N125856,E0800949",Chennai,L,52,3658,19599438,https://en.wikipedia.org/wiki/Chennai_International_Airport,http://www.aai.aero/chennai/index.jsp
CYUL,MontrÃ©al-Pierre Elliott Trudeau International Airport,YUL,CA,"N452814,W0734427",MontrÃ©al,L,118,3353,19425488,https://en.wikipedia.org/wiki/MontrÃ©al-Pierre_Elliott_Trudeau_International_Airport,http://www.admtl.com/
PHNL,Daniel K. Inouye International Airport,HNL,US,"N211907,W1575523",Honolulu,L,13,3753,19312680,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,http://hawaii.gov/hnl
KPDX,Portland International Airport,PDX,US,"N453519,W1223553",Portland,L,30,3353,19080354,https://en.wikipedia.org/wiki/Portland_International_Airport,http://www.flypdx.com/
ZYTX,Shenyang Taoxian International Airport,SHE,CN,"N413824,E1232902",Shenyang,L,197,3200,19027398,https://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport,http://tx.lnairport.com/en
LEMG,MÃ¡laga Airport,AGP,ES,"N364030,W0042957",MÃ¡laga,L,52,3200,19021704,https://en.wikipedia.org/wiki/MÃ¡laga_Airport,http://www.aena-aeropuertos.es/malaga/en
VECC,Netaji Subhas Chandra Bose International Airport,CCU,IN,"N223917,E0882648",Kolkata,L,16,3627,18882179,https://en.wikipedia.org/wiki/Netaji_Subhas_Chandra_Bose_International_Airport,http://www.kolkatainternationalairport.com/
ZYTL,Dalian Zhoushuizi International Airport,DLC,CN,"N385756,E1213217",Dalian,L,108,3300,18758171,https://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,http://www.dlairport.com
VTSP,Phuket International Airport,HKT,TH,"N080647,E0981900",Phuket,L,82,3000,18221764,https://en.wikipedia.org/wiki/Phuket_International_Airport,http://www.phuketairportthai.com/
ULLI,Pulkovo Airport,LED,RU,"N594801,E0301545",St. Petersburg,L,79,3780,18122286,https://en.wikipedia.org/wiki/Pulkovo_Airport,http://www.pulkovoairport.ru/en/
EPWA,Warsaw Chopin Airport,WAW,PL,"N520957,E0205802",Warsaw,L,361,3690,17755542,https://en.wikipedia.org/wiki/Warsaw_Chopin_Airport,http://www.lotnisko-chopina.pl/en/index.html
LSGG,Geneva Airport,GVA,CH,"N461418,E0060634",Geneva,L,1411,3900,17677035,https://en.wikipedia.org/wiki/Geneva_Airport,http://www.gva.ch/en/desktopdefault.aspx
OIII,Mehrabad International Airport,THR,IR,"N354121,E0511849",Tehran,L,3962,4038,17464216,https://en.wikipedia.org/wiki/Mehrabad_International_Airport,http://mehrabad.airport.ir
CYYC,Calgary International Airport,YYC,CA,"N510721,W1140047",Calgary,L,3606,4267,17343402,https://en.wikipedia.org/wiki/Calgary_International_Airport,http://www.yyc.com
SCEL,Comodoro Arturo Merino BenÃ­tez International Airport,SCL,CL,"S332334,W0704708",Santiago,L,1555,3800,17251406,https://en.wikipedia.org/wiki/Comodoro_Arturo_Merino_BenÃ­tez_International_Airport,http://www.nuevopudahuel.cl
EDDH,Hamburg Airport,HAM,DE,"N533749,E0095928",Hamburg,L,53,3250,17234279,https://en.wikipedia.org/wiki/Hamburg_Airport,http://www.airport.de/
VOHS,Rajiv Gandhi International Airport,HYD,IN,"N171424,E0782541",Hyderabad,L,2024,4260,17148069,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,http://www.hyderabad.aero
