AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
LTAZ,NevÅŸehir Kapadokya Airport,NAV,TR,"N384608,E0343135",NevÅŸehir,A,2835,3000,127583,https://en.wikipedia.org/wiki/NevÅŸehir_Kapadokya_Airport,http://kapadokya.dhmi.gov.tr/
KMHK,Manhattan Regional Airport,MHK,US,"N390828,W0964018",Manhattan,A,1066,NULL,127522,https://en.wikipedia.org/wiki/Manhattan_Regional_Airport,http://flymhk.com/default.aspx
USRK,Kogalym International Airport,KGP,RU,"N621124,E0743206",Kogalym,A,220,2507,127382,https://en.wikipedia.org/wiki/Kogalym_International_Airport,http://ns0.kogalymavia.ru/
SBMT,Campo de Marte Airport,NULL,BR,"S233025,W0463803",SÃ£o Paulo,A,2368,1600,125330,https://en.wikipedia.org/wiki/Campo_de_Marte_Airport,http://www.infraero.com.br/index.php/br/aeroportos/sao-paulo/aeroporto-campo-de-marte.html
LFMH,Saint-Ã‰tienne-BouthÃ©on Airport,EBU,FR,"N453226,E0041747",Saint-Ã‰tienne/BouthÃ©on,A,1325,2300,123095,https://en.wikipedia.org/wiki/Saint-Ã‰tienne-BouthÃ©on_Airport,http://www.saint-etienne.aeroport.fr/
HTAR,Arusha Airport,ARK,TZ,"S032200,E0363719",Arusha,A,4550,1620,122621,https://en.wikipedia.org/wiki/Arusha_Airport,NULL
VOBM,Belgaum Airport,IXG,IN,"N155133,E0743703",NULL,A,2487,2190,121902,https://en.wikipedia.org/wiki/Belgaum_Airport,http://www.aai.aero/allAirports/belgaum_generalinfo.jsp
LFCR,Rodez-Marcillac Airport,RDZ,FR,"N442408,E0022858",Rodez/Marcillac,A,1910,2100,121900,https://en.wikipedia.org/wiki/Rodez-Marcillac_Airport,http://www.aeroport-rodez.fr/
EFJO,Joensuu Airport,JOE,FI,"N623932,E0293728",Joensuu / Liperi,A,398,2500,121554,https://en.wikipedia.org/wiki/Joensuu_Airport,http://www.finavia.fi/airport_joensuu
LFRD,Dinard-Pleurtuit-Saint-Malo Airport,DNR,FR,"N483516,W0020448",Dinard/Pleurtuit/Saint-Malo,A,219,2200,121549,https://en.wikipedia.org/wiki/Dinard-Pleurtuit-Saint-Malo_Airport,http://www.dinard.aeroport.fr/uk
PAOM,Nome Airport,OME,US,"N643044,W1652642",Nome,A,38,NULL,121310,https://en.wikipedia.org/wiki/Nome_Airport,http://www.nomeairport.com/
NTTH,Huahine - Fare Airport,HUH,PF,"S164114,W1510119",Fare,A,NULL,1500,120807,https://en.wikipedia.org/wiki/Huahine_-_Fare_Airport,NULL
KSJT,San Angelo Regional Airport,SJT,US,"N312118,W1002946",San Angelo,A,1919,2453,120554,https://en.wikipedia.org/wiki/San_Angelo_Regional_Airport,NULL
SCVD,Pichoy Airport,ZAL,CL,"S393859,W0730510",Valdivia,A,59,2100,120504,https://en.wikipedia.org/wiki/Pichoy_Airport,NULL
KPGV,Pitt-Greenville Airport,PGV,US,"N353807,W0772307",Greenville,A,27,1981,120040,https://en.wikipedia.org/wiki/Pitt-Greenville_Airport,http://www.flypgv.com/
LIMZ,Cuneo International Airport,CUF,IT,"N443249,E0073723",Cuneo,A,1267,2104,120021,https://en.wikipedia.org/wiki/Cuneo_International_Airport,http://www.aeroporto.cuneo.it/
HEBL,Abu Simbel Airport,ABS,EG,"N222233,E0313642",Abu Simbel,A,616,3000,119326,https://en.wikipedia.org/wiki/Abu_Simbel_Airport,NULL
ESSP,NorrkÃ¶ping Airport,NRK,SE,"N583510,E0161354",NorrkÃ¶ping,A,32,2203,117891,https://en.wikipedia.org/wiki/NorrkÃ¶ping_Airport,NULL
KSBY,Salisbury-Ocean City-Wicomico Regional Airport,SBY,US,"N382024,W0753034",Salisbury,A,53,1951,117390,https://en.wikipedia.org/wiki/Salisbury-Ocean_City-Wicomico_Regional_Airport,http://www.flysbyairport.com/
LFBI,Poitiers-Biard Airport,PIS,FR,"N463515,E0001824",Poitiers/Biard,A,423,2350,117317,https://en.wikipedia.org/wiki/Poitiers-Biard_Airport,http://www.poitiers.aeroport.fr
YMRB,Moranbah Airport,MOV,AU,"S220328,E1480437",Moranbah,A,770,1524,115700,https://en.wikipedia.org/wiki/Moranbah_Airport,NULL
KORH,Worcester Regional Airport,ORH,US,"N421602,W0715233",Worcester,A,1009,2134,115600,https://en.wikipedia.org/wiki/Worcester_Regional_Airport,http://www.massport.com/worcester-airport/
UIBB,Bratsk Airport,BTK,RU,"N562212,E1014153",Bratsk,A,1598,3160,115548,https://en.wikipedia.org/wiki/Bratsk_Airport,http://aerobratsk.ru/
UELL,Chulman Airport,NER,RU,"N565448,E1245443",Neryungri,A,2812,3600,115336,https://en.wikipedia.org/wiki/Chulman_Airport,NULL
ENOV,Ã˜rsta-Volda Airport Hovden,HOV,NO,"N621043,E0060433",Ã˜rsta,A,243,1070,114922,https://en.wikipedia.org/wiki/Ã˜rsta-Volda_Airport_Hovden,NULL
EFKS,Kuusamo Airport,KAO,FI,"N655925,E0291355",Kuusamo,A,866,2500,113569,https://en.wikipedia.org/wiki/Kuusamo_Airport,http://www.finavia.fi/en/kuusamo/
UKLI,Ivano-Frankivsk International Airport,IFO,UA,"N485303,E0244110",Ivano-Frankivsk,A,919,2507,112607,https://en.wikipedia.org/wiki/Ivano-Frankivsk_International_Airport,http://airport.if.ua/
TJVQ,Antonio Rivera RodrÃ­guez Airport,VQS,PR,"N180805,W0652937",Vieques Island,A,49,1311,112532,https://en.wikipedia.org/wiki/Antonio_Rivera_RodrÃ­guez_Airport,NULL
ESOW,Stockholm VÃ¤sterÃ¥s Airport,VST,SE,"N593522,E0163801",Stockholm / VÃ¤sterÃ¥s,A,21,2581,112392,https://en.wikipedia.org/wiki/Stockholm_VÃ¤sterÃ¥s_Airport,NULL
HAMK,Alula Aba Nega Airport,MQX,ET,"N132802,E0393200",NULL,A,7406,3604,112060,https://en.wikipedia.org/wiki/Alula_Aba_Nega_Airport,NULL
ENSK,Stokmarknes Airport Skagen,SKN,NO,"N683451,E0150134",Hadsel,A,13,919,111588,https://en.wikipedia.org/wiki/Stokmarknes_Airport_Skagen,https://avinor.no/en/airport/stokmarknes-airport/
HKEL,Eldoret International Airport,EDL,KE,"N002416,E0351420",Eldoret,A,7050,3475,111250,https://en.wikipedia.org/wiki/Eldoret_International_Airport,NULL
KLAW,Lawton-Fort Sill Regional Airport,LAW,US,"N343404,W0982459",Lawton,A,1110,NULL,111052,https://en.wikipedia.org/wiki/Lawton-Fort_Sill_Regional_Airport,http://www.flylawton.org
YGEL,Geraldton Airport,GET,AU,"S284746,E1144225",Geraldton,A,121,1981,110800,https://en.wikipedia.org/wiki/Geraldton_Airport,http://www.geraldtonairport.com.au
LGIO,Ioannina National Airport,IOA,GR,"N394147,E0204921",Ioannina,A,1558,2400,109830,https://en.wikipedia.org/wiki/Ioannina_National_Airport,NULL
